"Wofür steht MPEG ?","Moving Picture Experts Group","Movies Pictures Extreme Guns","Movie Player Experts Group","Mega PCI Express Graphics"
"Welche Marktform tritt auf bei vielen Anbietern und wenigen Nachfragern?","Nachfrageoligopol","Angebotsoligopol","Nachfragemonopol","Beschränktes Nachfragemonopol"
"Welches der folgenden Begriffe ist KEIN Leitungssystem?","Zweiliniensystem","Einliniensystem","Stabliniensystem","Matrixorganisation"
"Wofür steht dieses Symbol ® ?","eingetragene Handelsmarke","Copy Right","Alle Rechte vorbehalten","Urheberrechtlich geschützt"
"Welches Verschlüsselungsverfahren wird bei WPA2 verwendet ?","AES","RSA","DES","Blowfish"
"Welches der folgenden Protokolle wird NICHT bei Mail-Servern genutzt?","SMP","SMTP","POP3","IMAP"
"Welches der folgenden Begriffe ist KEIN Bestandteil eines ER-Diagramms?","Klasse","Entität","Beziehung","Attribut"
"Wofür steht SIP im Zusammenhang mit VoiP?","Session Initiation Protocol","Secure Internet Protocol","Secure Initiation Protocol","Session Invitation Protocol"
"Woraus bestehen Klassen im Rahmen der OOP nicht?","Module","Eigenschaften","Methoden","Event-Handler"
"Welche ist keine DHCP-Phase?","Listen","Discover","Request","Offer"
"Welcher ist kein grundlegender Datentyp?","POINTER","INT","BOOL","FLOAT"
"Auf welchem Port arbeitet das HTTPS-Protokoll?","443","80","8080","22"
"Auf welcher Schicht des OSI-Modells arbeitet ein Hub?","Schicht 1","Schicht 3","Schicht 2","Schicht 4"
"Welche ist keine Architektur zur Speicheranbindung?","DAN","SAN","DAS","NAS"
"In welcher elektronischen Komponente kann sich die Firmware nicht befinden?","RAM","ROM","EEPROM","Flash-EEPPROM"
"Wofür steht der Begriff CPU?","Central Processing Unit","Central Programming Unit","Computer Processing Unit","Computer Programming Unit"
"Welche ist keine Netzwerktopologie?","Kreuz-Topologie","Stern-Topologie","Ring-Topologie","Baum-Topologie"
"Es gibt eine Vielzahl von Diagrammarten im Rahmen von URL. In welche lassen diese Diagramme einteilen?","Strukturdiagramm","Kreisdiagramm","Dreieckdiagram","Rechteckdiagramm"
"Wo sind die einheitlichen Schreib- und Gestaltungsregeln für die Textverarbeitung festgelegt?","DIN5008","DIN10000","Gesetzbuch","Im Parlament"
"Was bedeutet LTE?","Long term evolution","Life trade engine","Level together early","Land tech electirc"
"Was versteht man unter PAN?","Personal Area Network","Punishment Area Network","Pancake Area Network","Public Area Network"
"Der Standard MTU Wert eines Ethernets beträgt 1500 Byte. Wie groß können die effektiven Nutzdaten bei Absetzen eines ICMP-Datenpakets maximal werden, ohne dass eine Fragmentierung notwenig wird?","1472 Byte","923 Byte","2332 Byte","554 Byte"
"Wofür steht RoHS?","Restriction of hazardous substances","Rain of hammer sheep","Room of heavy stitch","Root of high sequence"
"Wählen Sie den falschen Hash-Algorithmus!","RTA","MD5","SHA2","RCA"
"Was ist das WORM-Verfahren?","Write Once Ready Many","With One Right Meal","What Of Right Might","Why Only Really Me"